begin,end,participant,utterance,translation,source,language,langshort,langfull,corpus,duration,uid,nature,nwords,nchar,n,rank,total,freq,source_raw,phonetic,overlap,priorby,FTO,overlapped,talk_all,talk_rel,load,transitions,turns_all,turns_rel,participants,rank_perc,freq_perc,streak,is_streak,focus,scope,participant_int,begin0,end0,participation
859790,860360,A,NA,NA,/arabic1/4826,arabic,Arabic,Egyptian Arabic,arabic1,570,arabic-044-168-859790,talk,1,4,54,16,5349560,1.0094288128369435e-5,NA,NA,NA,other,340,overlapped,8090,0.739184177997528,0.880304678998912,5,6,0.5,2,16,85,NA,0,NA,arabic-044-178-879710,1,0,570,dyadic
860130,865050,B,NA,NA,/arabic1/4826,arabic,Arabic,Egyptian Arabic,arabic1,4920,arabic-044-169-860130,talk,14,88,1,53,5349560,1.8693126163647105e-7,NA,NA,partial,other,-230,overlapped,13010,0.540353574173713,0.937319884726225,6,7,0.571428571428571,2,49,24,NA,0,NA,arabic-044-178-879710,2,340,5260,dyadic
864760,866900,A,NA,NA,/arabic1/4826,arabic,Arabic,Egyptian Arabic,arabic1,2140,arabic-044-170-864760,talk,6,31,1,53,5349560,1.8693126163647105e-7,NA,NA,partial,other,-290,NA,11530,0.516912402428447,0.977118644067797,4,5,0.6,2,49,24,NA,0,NA,arabic-044-178-879710,1,4970,7110,dyadic
867480,868650,B,NA,NA,/arabic1/4826,arabic,Arabic,Egyptian Arabic,arabic1,1170,arabic-044-171-867480,talk,2,7,1,53,5349560,1.8693126163647105e-7,NA,NA,NA,other,580,overlapped,9450,0.713227513227513,0.959390862944162,4,5,0.6,2,49,24,NA,0,NA,arabic-044-178-879710,2,7690,8860,dyadic
867760,871700,A,NA,NA,/arabic1/4826,arabic,Arabic,Egyptian Arabic,arabic1,3940,arabic-044-172-867760,talk,8,42,1,53,5349560,1.8693126163647105e-7,NA,NA,partial,other,-890,overlapped,13390,0.49663928304705,1.03798449612403,5,6,0.5,2,49,24,NA,0,NA,arabic-044-178-879710,1,7970,11910,dyadic
870230,872290,B,NA,NA,/arabic1/4826,arabic,Arabic,Egyptian Arabic,arabic1,2060,arabic-044-173-870230,talk,5,15,1,53,5349560,1.8693126163647105e-7,NA,NA,partial,other,-1470,NA,9310,0.346938775510204,1.23638778220452,3,4,0.5,2,49,24,NA,0,NA,arabic-044-178-879710,2,10440,12500,dyadic
872420,873540,A,NA,NA,/arabic1/4826,arabic,Arabic,Egyptian Arabic,arabic1,1120,arabic-044-174-872420,talk,2,14,1,53,5349560,1.8693126163647105e-7,NA,NA,NA,other,130,NA,10430,0.690316395014382,1.1879271070615,4,5,0.6,2,49,24,NA,0,NA,arabic-044-178-879710,1,12630,13750,dyadic
873740,875530,B,NA,NA,/arabic1/4826,arabic,Arabic,Egyptian Arabic,arabic1,1790,arabic-044-175-873740,talk,4,26,1,53,5349560,1.8693126163647105e-7,NA,NA,NA,other,200,overlapped,12220,0.410801963993453,1.13463324048282,5,6,0.5,2,49,24,NA,0,NA,arabic-044-178-879710,2,13950,15740,dyadic
874570,875840,A,NA,NA,/arabic1/4826,arabic,Arabic,Egyptian Arabic,arabic1,1270,arabic-044-176-874570,talk,2,5,127,9,5349560,2.374027022783182e-5,NA,NA,partial,other,-960,overlapped,13490,0.627872498146775,1.21750902527076,6,7,0.571428571428571,2,14,87,NA,0,NA,arabic-044-178-879710,1,14780,16050,dyadic
875560,879480,B,NA,NA,/arabic1/4826,arabic,Arabic,Egyptian Arabic,arabic1,3920,arabic-044-177-875560,talk,10,59,1,53,5349560,1.8693126163647105e-7,NA,NA,partial,other,-280,NA,15270,0.585461689587426,1.2725,6,7,0.571428571428571,2,49,24,NA,0,NA,arabic-044-178-879710,2,15770,19690,dyadic
879710,883000,A,NA,NA,/arabic1/4826,arabic,Arabic,Egyptian Arabic,arabic1,3290,arabic-044-178-879710,talk,6,37,1,53,5349560,1.8693126163647105e-7,NA,NA,NA,other,230,overlapped,13450,0.422304832713755,1.05324980422866,5,6,0.5,2,49,24,NA,0,focus,arabic-044-178-879710,1,19920,23210,dyadic
