begin,end,participant,utterance,translation,source,language,langshort,langfull,corpus,duration,uid,nature,nwords,nchar,n,rank,total,freq,source_raw,phonetic,overlap,priorby,FTO,overlapped,talk_all,talk_rel,load,transitions,turns_all,turns_rel,participants,rank_perc,freq_perc,streak,is_streak,focus,scope,participant_int,begin0,end0,participation
783390,784110,A,NA,NA,/arabic1/4789,arabic,Arabic,Egyptian Arabic,arabic1,720,arabic-040-239-783390,talk,1,4,247,4,5349560,4.617202162420835e-5,NA,NA,NA,other,0,overlapped,7670,0.263363754889179,0.946913580246914,4,5,0.6,2,11,90,2,1,NA,arabic-040-251-803170,1,0,720,dyadic
784090,785880,B,NA,NA,/arabic1/4789,arabic,Arabic,Egyptian Arabic,arabic1,1790,arabic-040-240-784090,talk,6,37,1,53,5349560,1.8693126163647105e-7,NA,NA,partial,other,-20,NA,9460,0.78646934460888,0.958459979736575,5,6,0.5,2,46,21,NA,0,NA,arabic-040-251-803170,2,700,2490,dyadic
786140,786530,A,NA,NA,/arabic1/4789,arabic,Arabic,Egyptian Arabic,arabic1,390,arabic-040-241-786140,talk,1,3,7,47,5349560,1.3085188314552972e-6,NA,NA,NA,other,260,NA,10090,0.174430128840436,0.982473222979552,6,7,0.428571428571429,2,20,81,NA,0,NA,arabic-040-251-803170,1,2750,3140,dyadic
786140,787030,B,NA,NA,/arabic1/4789,arabic,Arabic,Egyptian Arabic,arabic1,890,arabic-040-242-786140,talk,4,23,1,53,5349560,1.8693126163647105e-7,NA,NA,partial,other,2030,NA,10090,0.825569871159564,0.982473222979552,6,7,0.571428571428571,2,46,21,NA,0,NA,arabic-040-251-803170,2,2750,3640,dyadic
787030,787470,A,NA,NA,/arabic1/4789,arabic,Arabic,Egyptian Arabic,arabic1,440,arabic-040-243-787030,talk,1,2,2073,1,5349560,3.8750850537240446e-4,NA,NA,NA,other,0,overlapped,7300,0.301369863013699,0.973333333333333,6,7,0.571428571428571,2,2,96,1,1,NA,arabic-040-251-803170,1,3640,4080,dyadic
787060,793100,B,NA,NA,/arabic1/4789,arabic,Arabic,Egyptian Arabic,arabic1,6040,arabic-040-244-787060,talk,19,120,1,53,5349560,1.8693126163647105e-7,NA,NA,partial,other,530,overlapped,13340,0.835082458770615,1.01599390708302,7,8,0.5,2,46,21,NA,0,NA,arabic-040-251-803170,2,3670,9710,dyadic
793060,793640,A,NA,NA,/arabic1/4789,arabic,Arabic,Egyptian Arabic,arabic1,580,arabic-040-245-793060,talk,1,2,2073,1,5349560,3.8750850537240446e-4,NA,NA,partial,other,-40,overlapped,10850,0.1963133640553,1.05853658536585,6,7,0.571428571428571,2,2,96,2,1,NA,arabic-040-251-803170,1,9670,10250,dyadic
793190,794850,B,NA,NA,/arabic1/4789,arabic,Arabic,Egyptian Arabic,arabic1,1660,arabic-040-246-793190,talk,4,21,1,53,5349560,1.8693126163647105e-7,NA,NA,partial,other,5720,overlapped,12510,0.829736211031175,1.09162303664921,7,8,0.5,2,46,21,NA,0,NA,arabic-040-251-803170,2,9800,11460,dyadic
794050,795700,A,NA,NA,/arabic1/4789,arabic,Arabic,Egyptian Arabic,arabic1,1650,arabic-040-247-794050,talk,1,4,247,4,5349560,4.617202162420835e-5,NA,NA,partial,other,-800,overlapped,13440,0.227678571428571,1.15762273901809,7,8,0.5,2,11,90,3,1,NA,arabic-040-251-803170,1,10660,12310,dyadic
795440,798910,B,NA,NA,/arabic1/4789,arabic,Arabic,Egyptian Arabic,arabic1,3470,arabic-040-248-795440,talk,11,65,1,53,5349560,1.8693126163647105e-7,NA,NA,partial,other,-260,NA,15120,0.797619047619048,1.1840250587314,7,8,0.5,2,46,21,NA,0,NA,arabic-040-251-803170,2,12050,15520,dyadic
799060,799790,A,NA,NA,/arabic1/4789,arabic,Arabic,Egyptian Arabic,arabic1,730,arabic-040-249-799060,talk,1,4,247,4,5349560,4.617202162420835e-5,NA,NA,NA,other,150,overlapped,8090,0.365883807169345,1.20208023774146,4,5,0.6,2,11,90,4,1,NA,arabic-040-251-803170,1,15670,16400,dyadic
