begin,end,participant,utterance,translation,source,language,langshort,langfull,corpus,duration,uid,nature,nwords,nchar,n,rank,total,freq,source_raw,phonetic,overlap,priorby,FTO,overlapped,talk_all,talk_rel,load,transitions,turns_all,turns_rel,participants,rank_perc,freq_perc,streak,is_streak,focus,scope,participant_int,begin0,end0,participation
719050,724330,A,NA,NA,/english4/4310,english,English,English,english4,5280,english-018-007-719050,talk,21,100,1,83,9417659,1.0618350059181377e-7,NA,NA,NA,other,2210,NA,11440,0.902097902097902,0.976942783945346,4,5,0.6,2,60,29,NA,0,NA,english-018-027-757130,1,0,5280,dyadic
724640,724980,B,NA,NA,/english4/4310,english,English,English,english4,340,english-018-008-724640,talk,1,5,570,5,9417659,6.052459533733383e-5,NA,NA,NA,other,310,overlapped,9080,0.16079295154185,0.964930924548353,4,5,0.6,2,10,90,NA,0,NA,english-018-027-757130,2,5590,5930,dyadic
724920,728840,A,NA,NA,/english4/4310,english,English,English,english4,3920,english-018-009-724920,talk,16,75,1,83,9417659,1.0618350059181377e-7,NA,NA,partial,other,-60,NA,13000,0.887692307692308,0.979653353428787,5,6,0.5,2,60,29,NA,0,NA,english-018-027-757130,1,5870,9790,dyadic
729540,730180,B,NA,NA,/english4/4310,english,English,English,english4,640,english-018-010-729540,talk,2,5,42,45,9417659,4.4597070248561774e-006,NA,NA,NA,other,700,overlapped,4900,0.2,0.884476534296029,2,3,0.666666666666667,2,20,81,NA,0,NA,english-018-027-757130,2,10490,11130,dyadic
730070,733230,A,NA,NA,/english4/4310,english,English,English,english4,3160,english-018-011-730070,talk,22,87,1,83,9417659,1.0618350059181377e-7,NA,NA,partial,other,-110,NA,8060,0.878411910669975,0.938300349243306,3,4,0.5,2,60,29,NA,0,NA,english-018-027-757130,1,11020,14180,dyadic
733650,733960,B,NA,NA,/english4/4310,english,English,English,english4,310,english-018-012-733650,talk,1,3,999,2,9417659,1.0607731709122193e-4,NA,NA,NA,other,420,NA,8370,0.154121863799283,0.898068669527897,4,5,0.6,2,6,94,1,1,NA,english-018-027-757130,2,14600,14910,dyadic
734040,740340,A,NA,NA,/english4/4310,english,English,English,english4,6300,english-018-013-734040,talk,33,142,1,83,9417659,1.0618350059181377e-7,NA,NA,NA,other,80,overlapped,14670,0.912065439672802,0.934394904458599,5,6,0.5,2,60,29,NA,0,NA,english-018-027-757130,1,14990,21290,dyadic
737130,737380,B,NA,NA,/english4/4310,english,English,English,english4,250,english-018-014-737130,talk,1,3,999,2,9417659,1.0607731709122193e-4,NA,NA,full,other,-3210,NA,10660,0.112570356472795,0.987037037037037,4,5,0.6,2,6,94,2,1,NA,english-018-027-757130,2,18080,18330,dyadic
740120,740920,B,NA,NA,/english4/4310,english,English,English,english4,800,english-018-015-740120,talk,2,6,1,83,9417659,1.0618350059181377e-7,NA,NA,NA,self_during_other,-220,NA,7660,0.177545691906005,1.05364511691884,2,4,0.75,2,60,29,NA,0,NA,english-018-027-757130,2,21070,21870,dyadic
741020,741690,A,NA,NA,/english4/4310,english,English,English,english4,670,english-018-016-741020,talk,3,11,2,82,9417659,2.123670011836275e-7,NA,NA,NA,other,100,NA,8330,0.836734693877551,1.03606965174129,3,5,0.4,2,30,71,NA,0,NA,english-018-027-757130,1,21970,22640,dyadic
742020,742350,B,NA,NA,/english4/4310,english,English,English,english4,330,english-018-017-742020,talk,1,3,999,2,9417659,1.0607731709122193e-4,NA,NA,NA,other,330,overlapped,8660,0.195150115473441,0.995402298850575,4,6,0.666666666666667,2,6,94,NA,0,NA,english-018-027-757130,2,22970,23300,dyadic
742240,743120,A,NA,NA,/english4/4310,english,English,English,english4,880,english-018-018-742240,talk,2,6,51,41,9417659,5.415358530182501e-6,NA,NA,partial,other,-110,NA,9540,0.822851153039832,1.00739176346357,5,7,0.428571428571429,2,20,81,NA,0,NA,english-018-027-757130,1,23190,24070,dyadic
743860,749500,A,NA,NA,/english4/4310,english,English,English,english4,5640,english-018-021-743860,talk,6,26,1,83,9417659,1.0618350059181377e-7,NA,NA,NA,self,NA,overlapped,14870,0.90719569603228,0.961836998706339,4,7,0.571428571428571,2,60,29,NA,0,NA,english-018-027-757130,1,24810,30450,dyadic
748260,748580,B,NA,NA,/english4/4310,english,English,English,english4,320,english-018-022-748260,talk,1,2,225,10,9417659,2.389128763315809e-5,NA,NA,full,other,-1240,NA,8640,0.167824074074074,0.921108742004264,4,6,0.5,2,13,87,NA,0,NA,english-018-027-757130,2,29210,29530,dyadic
749830,750110,B,NA,NA,/english4/4310,english,English,English,english4,280,english-018-023-749830,talk,1,3,999,2,9417659,1.0607731709122193e-4,NA,NA,NA,self_during_other,330,overlapped,8920,0.193946188340807,0.892892892892893,4,7,0.571428571428571,2,6,94,NA,0,NA,english-018-027-757130,2,30780,31060,dyadic
750070,752780,A,NA,NA,/english4/4310,english,English,English,english4,2710,english-018-024-750070,talk,11,51,1,83,9417659,1.0618350059181377e-7,NA,NA,partial,other,-40,NA,11630,0.851246775580396,0.918641390205371,5,8,0.5,2,60,29,NA,0,NA,english-018-027-757130,1,31020,33730,dyadic
753140,753610,B,NA,NA,/english4/4310,english,English,English,english4,470,english-018-025-753140,talk,2,5,42,45,9417659,4.4597070248561774e-006,NA,NA,NA,other,360,NA,9420,0.113588110403397,0.966153846153846,3,5,0.6,2,20,81,NA,0,NA,english-018-027-757130,2,34090,34560,dyadic
753770,756890,A,NA,NA,/english4/4310,english,English,English,english4,3120,english-018-026-753770,talk,11,45,1,83,9417659,1.0618350059181377e-7,NA,NA,NA,other,160,NA,12540,0.914673046251994,0.9623944742901,4,6,0.5,2,60,29,NA,0,NA,english-018-027-757130,1,34720,37840,dyadic
757130,757440,B,NA,NA,/english4/4310,english,English,English,english4,310,english-018-027-757130,talk,1,3,999,2,9417659,1.0607731709122193e-4,NA,NA,NA,other,240,NA,7210,0.191400832177531,0.785403050108932,4,6,0.666666666666667,2,6,94,NA,0,focus,english-018-027-757130,2,38080,38390,dyadic
757460,758860,A,NA,NA,/english4/4310,english,English,English,english4,1400,english-018-028-757460,talk,7,36,1,83,9417659,1.0618350059181377e-7,NA,NA,NA,other,20,overlapped,8610,0.839721254355401,0.812264150943396,5,7,0.428571428571429,2,60,29,NA,0,NA,english-018-027-757130,1,38410,39810,dyadic
758380,758640,B,NA,NA,/english4/4310,english,English,English,english4,260,english-018-029-758380,talk,1,4,2526,1,9417659,2.682195224949215e-4,NA,NA,full,other,-480,NA,8550,0.154385964912281,0.946843853820598,6,7,0.571428571428571,2,2,97,NA,0,NA,english-018-027-757130,2,39330,39590,dyadic
758890,760860,A,NA,NA,/english4/4310,english,English,English,english4,1970,english-018-030-758890,talk,8,35,1,83,9417659,1.0618350059181377e-7,NA,NA,NA,other,250,NA,10520,0.874524714828897,0.953762466001813,7,8,0.5,2,60,29,NA,0,NA,english-018-027-757130,1,39840,41810,dyadic
761640,763970,A,NA,NA,/english4/4310,english,English,English,english4,2330,english-018-031-761640,talk,8,38,1,83,9417659,1.0618350059181377e-7,NA,NA,NA,self,NA,NA,9860,0.894523326572008,0.910433979686057,5,7,0.571428571428571,2,60,29,NA,0,NA,english-018-027-757130,1,42590,44920,dyadic
764120,764530,B,NA,NA,/english4/4310,english,English,English,english4,410,english-018-032-764120,talk,1,5,570,5,9417659,6.052459533733383e-5,NA,NA,NA,other,150,NA,6680,0.146706586826347,0.902702702702703,4,6,0.5,2,10,90,NA,0,NA,english-018-027-757130,2,45070,45480,dyadic
764670,773920,A,NA,NA,/english4/4310,english,English,English,english4,9250,english-018-035-764670,talk,17,78,1,83,9417659,1.0618350059181377e-7,NA,NA,NA,self,NA,overlapped,15930,0.938480853735091,0.948779035139964,5,7,0.571428571428571,2,60,29,NA,0,NA,english-018-027-757130,1,45620,54870,dyadic
767960,768260,B,NA,NA,/english4/4310,english,English,English,english4,300,english-018-036-767960,talk,1,5,728,3,9417659,7.73015884308404e-5,NA,NA,full,other,-5960,NA,14520,0.0668044077134986,0.934362934362934,4,6,0.5,2,8,92,NA,0,NA,english-018-027-757130,2,48910,49210,dyadic
769090,769420,B,NA,NA,/english4/4310,english,English,English,english4,330,english-018-037-769090,talk,1,3,999,2,9417659,1.0607731709122193e-4,NA,NA,full,self_during_other,-4830,NA,12620,0.0824088748019017,1.02768729641694,3,5,0.6,2,6,94,NA,0,NA,english-018-027-757130,2,50040,50370,dyadic
774270,775050,B,NA,NA,/english4/4310,english,English,English,english4,780,english-018-038-774270,talk,2,6,1,83,9417659,1.0618350059181377e-7,NA,NA,NA,self_during_other,350,overlapped,10660,0.132270168855535,1.02697495183044,1,4,0.75,2,60,29,NA,0,NA,english-018-027-757130,2,55220,56000,dyadic
774890,776130,A,NA,NA,/english4/4310,english,English,English,english4,1240,english-018-039-774890,talk,3,13,1,83,9417659,1.0618350059181377e-7,NA,NA,partial,other,-160,NA,2650,0.467924528301887,0.324357405140759,1,4,0.25,2,60,29,NA,0,NA,english-018-027-757130,1,55840,57080,dyadic
776860,783910,A,NA,NA,/english4/4310,english,English,English,english4,7050,english-018-041-776860,talk,33,158,1,83,9417659,1.0618350059181377e-7,NA,NA,NA,self,NA,overlapped,9700,0.854639175257732,0.608150470219436,1,5,0.4,2,60,29,NA,0,NA,english-018-027-757130,1,57810,64860,dyadic
781850,782170,B,NA,NA,/english4/4310,english,English,English,english4,320,english-018-042-781850,talk,1,5,728,3,9417659,7.73015884308404e-5,NA,NA,full,other,-2060,NA,9390,0.117145899893504,0.974066390041494,2,4,0.5,2,8,92,1,1,NA,english-018-027-757130,2,62800,63120,dyadic
784380,788950,A,NA,NA,/english4/4310,english,English,English,english4,4570,english-018-043-784380,talk,20,89,1,83,9417659,1.0618350059181377e-7,NA,NA,NA,other,2210,NA,13180,0.975720789074355,0.937411095305832,2,4,0.75,2,60,29,NA,0,NA,english-018-027-757130,1,65330,69900,dyadic
789280,789570,B,NA,NA,/english4/4310,english,English,English,english4,290,english-018-044-789280,talk,1,5,728,3,9417659,7.73015884308404e-5,NA,NA,NA,other,330,NA,5180,0.117760617760618,0.670984455958549,2,3,0.666666666666667,2,8,92,2,1,NA,english-018-027-757130,2,70230,70520,dyadic
789660,796620,A,NA,NA,/english4/4310,english,English,English,english4,6960,english-018-045-789660,talk,28,156,1,83,9417659,1.0618350059181377e-7,NA,NA,NA,other,90,NA,12140,0.949752883031301,0.821936357481381,3,4,0.5,2,60,29,NA,0,NA,english-018-027-757130,1,70610,77570,dyadic
797070,797380,B,NA,NA,/english4/4310,english,English,English,english4,310,english-018-046-797070,talk,1,5,728,3,9417659,7.73015884308404e-5,NA,NA,NA,other,450,NA,7560,0.0793650793650794,0.933333333333333,2,3,0.666666666666667,2,8,92,3,1,NA,english-018-027-757130,2,78020,78330,dyadic
501580,502730,B,NA,NA,/english4/5788,english,English,English,english4,1150,english-103-205-501580,talk,3,17,1,83,9417659,1.0618350059181377e-7,NA,NA,partial,other,-450,NA,7640,0.880890052356021,0.976982097186701,2,4,0.75,2,89,59,NA,0,NA,english-103-222-541210,2,0,1150,dyadic
503270,505380,B,NA,NA,/english4/5788,english,English,English,english4,2110,english-103-206-503270,talk,8,40,1,83,9417659,1.0618350059181377e-7,NA,NA,NA,self,NA,NA,9750,0.906666666666667,0.931232091690544,2,5,0.8,2,89,59,NA,0,NA,english-103-222-541210,2,1690,3800,dyadic
505530,505840,A,NA,NA,/english4/5788,english,English,English,english4,310,english-103-207-505530,talk,1,5,570,5,9417659,6.052459533733383e-5,NA,NA,NA,other,150,NA,9240,0.132034632034632,1.01204819277108,3,5,0.4,2,11,91,1,1,NA,english-103-222-541210,1,3950,4260,dyadic
