begin,end,participant,utterance,translation,source,language,langshort,langfull,corpus,duration,uid,nature,nwords,nchar,n,rank,total,freq,source_raw,phonetic,overlap,priorby,FTO,overlapped,talk_all,talk_rel,load,transitions,turns_all,turns_rel,participants,rank_perc,freq_perc,streak,is_streak,focus,scope,participant_int,begin0,end0,participation
447120,448840,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,1720,mandarin-110-165-447120,talk,6,31,1,55,6332095,1.5792561545586417e-7,NA,NA,partial,other,-260,NA,8960,0.305803571428571,0.791519434628975,5,9,0.444444444444444,2,94,64,NA,0,NA,mandarin-110-185-495690,1,0,1720,dyadic
449670,450030,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,360,mandarin-110-166-449670,talk,1,1,1732,1,6332095,2.735271659695567e-4,NA,NA,NA,other,830,NA,7970,0.742785445420326,0.775291828793774,4,7,0.714285714285714,2,5,100,NA,0,NA,mandarin-110-185-495690,2,2550,2910,dyadic
450460,450720,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,260,mandarin-110-167-450460,talk,1,2,13,43,6332095,2.053033000926234e-6,NA,NA,NA,other,430,NA,7960,0.290201005025126,0.778864970645793,4,7,0.428571428571429,2,24,77,NA,0,NA,mandarin-110-185-495690,1,3340,3600,dyadic
450960,453530,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,2570,mandarin-110-168-450960,talk,7,33,1,55,6332095,1.5792561545586417e-7,NA,NA,NA,self,NA,NA,10200,0.446078431372549,0.838815789473684,3,7,0.428571428571429,2,94,64,NA,0,NA,mandarin-110-185-495690,1,3840,6410,dyadic
453970,456330,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,2360,mandarin-110-169-453970,talk,8,29,1,55,6332095,1.5792561545586417e-7,NA,NA,NA,self,NA,NA,7270,0.950481430536451,0.789359391965255,2,5,0.8,2,94,64,NA,0,NA,mandarin-110-185-495690,1,6850,9210,dyadic
456750,461770,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,5020,mandarin-110-170-456750,talk,16,64,1,55,6332095,1.5792561545586417e-7,NA,NA,NA,self,NA,overlapped,12290,0.970707892595606,0.838907849829352,2,6,0.833333333333333,2,94,64,NA,0,NA,mandarin-110-185-495690,1,9630,14650,dyadic
458750,459220,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,470,mandarin-110-171-458750,talk,3,8,10,46,6332095,1.5792561545586414e-6,NA,NA,full,other,-3020,NA,11040,0.0751811594202899,0.912396694214876,2,6,0.333333333333333,2,25,77,NA,0,NA,mandarin-110-185-495690,2,11630,12100,dyadic
460550,460970,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,420,mandarin-110-172-460550,talk,5,13,27,30,6332095,4.2639916173083316e-006,NA,NA,full,self_during_other,-1220,NA,10840,0.0821033210332103,1.00277520814061,1,5,0.4,2,22,79,NA,0,NA,mandarin-110-185-495690,2,13430,13850,dyadic
461200,461500,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,300,mandarin-110-173-461200,talk,1,2,1493,2,6332095,2.3578294387560512e-4,NA,NA,full,self_during_other,-570,NA,8570,0.138856476079347,1.09871794871795,1,5,0.6,2,10,94,NA,0,NA,mandarin-110-185-495690,2,14080,14380,dyadic
461970,462350,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,380,mandarin-110-174-461970,talk,1,1,1732,1,6332095,2.735271659695567e-4,NA,NA,NA,self_during_other,2750,NA,8950,0.175418994413408,1.06801909307876,1,6,0.666666666666667,2,5,100,NA,0,NA,mandarin-110-185-495690,2,14850,15230,dyadic
462580,474940,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,12360,mandarin-110-175-462580,talk,13,42,1,55,6332095,1.5792561545586417e-7,NA,NA,NA,other,230,NA,21310,0.926325668700141,1.01621363853124,2,7,0.428571428571429,2,94,64,NA,0,NA,mandarin-110-185-495690,1,15460,27820,dyadic
475460,480890,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,5430,mandarin-110-176-475460,talk,21,83,1,55,6332095,1.5792561545586417e-7,NA,NA,NA,self,NA,NA,5430,1,1,0,1,1,1,94,64,NA,0,NA,mandarin-110-185-495690,1,28340,33770,dyadic
481150,481560,B,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,410,mandarin-110-177-481150,talk,1,2,1493,2,6332095,2.3578294387560512e-4,NA,NA,NA,other,260,NA,5840,0.0702054794520548,0.957377049180328,1,2,0.5,2,10,94,1,1,NA,mandarin-110-185-495690,2,34030,34440,dyadic
482110,482720,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,610,mandarin-110-178-482110,talk,2,7,1,55,6332095,1.5792561545586417e-7,NA,NA,NA,other,550,NA,6450,0.936434108527132,0.888429752066116,2,3,0.666666666666667,2,94,64,NA,0,NA,mandarin-110-185-495690,1,34990,35600,dyadic
483480,489510,A,NA,NA,/mandarin2/1430,mandarin,Mandarin,Mandarin Chinese,mandarin2,6030,mandarin-110-179-483480,talk,21,89,1,55,6332095,1.5792561545586417e-7,NA,NA,NA,self,NA,NA,12480,0.967147435897436,0.88825622775800706,2,4,0.75,2,94,64,NA,0,NA,mandarin-110-185-495690,1,36360,42390,dyadic
