begin,end,participant,utterance,translation,source,language,langshort,langfull,corpus,duration,uid,nature,nwords,nchar,n,rank,total,freq,source_raw,phonetic,overlap,priorby,FTO,overlapped,talk_all,talk_rel,load,transitions,turns_all,turns_rel,participants,rank_perc,freq_perc,streak,is_streak,focus,scope,participant_int,begin0,end0,participation
1251569,1253665,M1,NA,NA,/english2/4175,english,English,English,english2,2096,english-01-0823-1251569,talk,10,53,1,83,9417659,1.0618350059181377e-7,NA,NA,NA,self,NA,NA,7776,1,0.952007835455436,0,3,1,1,32,1,NA,0,NA,english-01-0840-1289126,1,0,2096,dyadic
1254177,1256017,M1,NA,NA,/english2/4175,english,English,English,english2,1840,english-01-0824-1254177,talk,7,29,1,83,9417659,1.0618350059181377e-7,NA,NA,NA,self,NA,NA,9616,1,0.914068441064639,0,4,1,1,32,1,NA,0,NA,english-01-0840-1289126,1,2608,4448,dyadic
1256049,1262721,M1,NA,NA,/english2/4175,english,English,English,english2,6672,english-01-0826-1256049,talk,11,55,1,83,9417659,1.0618350059181377e-7,NA,NA,NA,self,NA,overlapped,13744,1,0.937772925764192,0,4,1,1,32,1,NA,0,NA,english-01-0840-1289126,1,4480,11152,dyadic
1262681,1265065,M1,NA,NA,/english2/4175,english,English,English,english2,2384,english-01-0827-1262681,talk,10,45,1,83,9417659,1.0618350059181377e-7,NA,NA,partial,self,NA,NA,10896,1,1.00073475385746,0,3,1,1,32,2,NA,0,NA,english-01-0840-1289126,1,11112,13496,dyadic
1265273,1268841,M1,NA,NA,/english2/4175,english,English,English,english2,3568,english-01-0828-1265273,talk,17,92,1,83,9417659,1.0618350059181377e-7,NA,NA,NA,self,NA,NA,12624,1,0.98686679174484,0,3,1,1,32,2,NA,0,NA,english-01-0840-1289126,1,13704,17272,dyadic
1269337,1269641,M2,NA,NA,/english2/4175,english,English,English,english2,304,english-01-0830-1269337,talk,2,4,9,75,9417659,9.556515053263236e-7,NA,NA,NA,other,NA,overlapped,6256,0.0485933503836317,0.898850574712644,1,3,0.333333333333333,2,24,76,NA,0,NA,english-01-0840-1289126,2,17768,18072,dyadic
1269338,1272249,M1,NA,NA,/english2/4175,english,English,English,english2,2911,english-01-0831-1269338,talk,9,48,1,83,9417659,1.0618350059181377e-7,NA,NA,partial,other,-303,NA,9167,0.966837569542926,0.958089464882943,2,4,0.75,2,32,2,NA,0,NA,english-01-0840-1289126,1,17769,20680,dyadic
1272604,1275692,M1,NA,NA,/english2/4175,english,English,English,english2,3088,english-01-0832-1272604,talk,14,64,1,83,9417659,1.0618350059181377e-7,NA,NA,NA,self,NA,overlapped,12255,0.975193798449612,0.941895319345169,2,5,0.8,2,32,2,NA,0,NA,english-01-0840-1289126,1,21035,24123,dyadic
1275547,1279291,M1,NA,NA,/english2/4175,english,English,English,english2,3744,english-01-0833-1275547,talk,10,49,1,83,9417659,1.0618350059181377e-7,NA,NA,partial,self,NA,NA,10047,0.969742211605454,1.00934297769741,1,4,0.75,2,32,2,NA,0,NA,english-01-0840-1289126,1,23978,27722,dyadic
1279435,1280043,M2,NA,NA,/english2/4175,english,English,English,english2,608,english-01-0834-1279435,breath,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,144,overlapped,7440,0.0817204301075269,1.00013442667025,1,3,0.333333333333333,2,NA,NA,NA,0,NA,english-01-0840-1289126,2,27866,28474,dyadic
