begin,end,participant,utterance,translation,source,language,langshort,langfull,corpus,duration,uid,nature,nwords,nchar,n,rank,total,freq,source_raw,phonetic,overlap,priorby,FTO,overlapped,talk_all,talk_rel,load,transitions,turns_all,turns_rel,participants,rank_perc,freq_perc,streak,is_streak,focus,scope,participant_int,begin0,end0,participation
35290,35980,B,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,690,korean-002-020-35290,talk,1,4,4687,1,25706834,1.8232505799819612e-4,NA,NA,NA,self_during_other,-180,NA,11400,0.414035087719298,1.22448979591837,4,6,0.666666666666667,2,1,89,1,1,NA,korean-002-044-75210,2,0,690,dyadic
36290,37110,A,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,820,korean-002-021-36290,talk,2,22,1,53,25706834,3.8900161723532347e-8,NA,NA,NA,other,310,NA,12220,0.613747954173486,1.17049808429119,5,7,0.428571428571429,2,32,1,NA,0,NA,korean-002-044-75210,1,1000,1820,dyadic
37640,39310,A,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,1670,korean-002-022-37640,talk,5,39,1,53,25706834,3.8900161723532347e-8,NA,NA,NA,self,NA,NA,10900,0.841284403669725,1.00460829493088,4,7,0.571428571428571,2,32,1,NA,0,NA,korean-002-044-75210,1,2350,4020,dyadic
39370,39930,B,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,560,korean-002-023-39370,talk,1,4,4687,1,25706834,1.8232505799819612e-4,NA,NA,NA,other,60,overlapped,6710,0.341281669150522,0.958571428571429,4,7,0.571428571428571,2,1,89,2,1,NA,korean-002-044-75210,2,4080,4640,dyadic
39450,41290,A,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,1840,korean-002-024-39450,talk,4,44,1,53,25706834,3.8900161723532347e-8,NA,NA,partial,other,-480,overlapped,8550,0.732163742690058,1.02272727272727,5,8,0.5,2,32,1,NA,0,NA,korean-002-044-75210,1,4160,6000,dyadic
41210,41790,B,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,580,korean-002-025-41210,talk,1,4,4687,1,25706834,1.8232505799819612e-4,NA,NA,partial,other,-80,overlapped,9130,0.31434830230011,1.03047404063205,6,9,0.555555555555556,2,1,89,3,1,NA,korean-002-044-75210,2,5920,6500,dyadic
41580,45780,A,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,4200,korean-002-026-41580,talk,15,102,1,53,25706834,3.8900161723532347e-8,NA,NA,partial,other,-210,NA,13330,0.784696174043511,1.03735408560311,7,10,0.5,2,32,1,NA,0,NA,korean-002-044-75210,1,6290,10490,dyadic
46310,47390,B,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,1080,korean-002-027-46310,talk,1,12,1,53,25706834,3.8900161723532347e-8,NA,NA,NA,other,530,overlapped,9930,0.223564954682779,1.01846153846154,5,6,0.5,2,32,1,NA,0,NA,korean-002-044-75210,2,11020,12100,dyadic
46430,48040,A,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,1610,korean-002-028-46430,talk,4,26,1,53,25706834,3.8900161723532347e-8,NA,NA,partial,other,4640,overlapped,11540,0.807625649913345,1.10961538461538,6,7,0.571428571428571,2,32,1,NA,0,NA,korean-002-044-75210,1,11140,12750,dyadic
47540,49330,B,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,1790,korean-002-029-47540,talk,5,29,1,53,25706834,3.8900161723532347e-8,NA,NA,partial,other,-500,overlapped,13330,0.300825206301575,1.14029084687767,7,8,0.5,2,32,1,NA,0,NA,korean-002-044-75210,2,12250,14040,dyadic
49290,51670,A,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,2380,korean-002-030-49290,talk,6,44,1,53,25706834,3.8900161723532347e-8,NA,NA,partial,other,-40,overlapped,14040,0.714387464387464,1.14146341463415,7,8,0.5,2,32,1,NA,0,NA,korean-002-044-75210,1,14000,16380,dyadic
51190,52000,B,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,810,korean-002-031-51190,talk,2,3,72,18,25706834,2.8008116440943292e-6,NA,NA,partial,other,-480,overlapped,12450,0.342168674698795,1.15384615384615,6,7,0.571428571428571,2,24,77,NA,0,NA,korean-002-044-75210,2,15900,16710,dyadic
51840,54430,A,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,2590,korean-002-032-51840,talk,7,63,1,53,25706834,3.8900161723532347e-8,NA,NA,partial,other,-160,overlapped,10260,0.641325536062378,1.26354679802956,5,6,0.5,2,32,1,NA,0,NA,korean-002-044-75210,1,16550,19140,dyadic
54270,56010,B,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,1740,korean-002-033-54270,talk,NA,NA,NA,NA,NA,NA,NA,NA,partial,other,-160,overlapped,12000,0.451666666666667,1.23711340206186,6,7,0.571428571428571,2,NA,NA,NA,0,NA,korean-002-044-75210,2,18980,20720,dyadic
55530,57530,A,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,2000,korean-002-034-55530,talk,7,34,1,53,25706834,3.8900161723532347e-8,NA,NA,partial,other,-480,overlapped,14000,0.612857142857143,1.24777183600713,7,8,0.5,2,32,1,NA,0,NA,korean-002-044-75210,1,20240,22240,dyadic
57270,59580,B,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,2310,korean-002-035-57270,talk,7,43,1,53,25706834,3.8900161723532347e-8,NA,NA,partial,other,-260,overlapped,13620,0.488252569750367,1.1312292358804,6,7,0.571428571428571,2,32,1,NA,0,NA,korean-002-044-75210,2,21980,24290,dyadic
58100,58460,A,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,360,korean-002-036-58100,talk,1,10,1,53,25706834,3.8900161723532347e-8,NA,NA,full,other,-1480,NA,12190,0.601312551271534,1.1846452866861,6,7,0.571428571428571,2,32,1,NA,0,NA,korean-002-044-75210,1,22810,23170,dyadic
59800,62890,A,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,3090,korean-002-037-59800,talk,10,74,1,53,25706834,3.8900161723532347e-8,NA,NA,NA,self_during_other,220,overlapped,12900,0.623255813953488,1.1025641025641,5,7,0.571428571428571,2,32,1,NA,0,NA,korean-002-044-75210,1,24510,27600,dyadic
62780,63660,B,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,880,korean-002-038-62780,talk,1,2,1608,2,25706834,6.255146005144002e-5,NA,NA,partial,other,-110,NA,10380,0.47495183044316,1.10543130990415,4,6,0.5,2,12,85,NA,0,NA,korean-002-044-75210,2,27490,28370,dyadic
63740,69160,A,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,5420,korean-002-039-63740,talk,13,156,1,53,25706834,3.8900161723532347e-8,NA,NA,NA,other,80,overlapped,15800,0.687974683544304,1.06111484217596,5,7,0.571428571428571,2,32,1,NA,0,NA,korean-002-044-75210,1,28450,33870,dyadic
68900,72120,B,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,3220,korean-002-040-68900,talk,8,53,1,53,25706834,3.8900161723532347e-8,NA,NA,partial,other,-260,NA,12610,0.325138778747026,1.02353896103896,3,4,0.5,2,32,1,NA,0,NA,korean-002-044-75210,2,33610,36830,dyadic
72130,74130,A,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,2000,korean-002-041-72130,talk,4,49,1,53,25706834,3.8900161723532347e-8,NA,NA,NA,other,10,overlapped,11520,0.644097222222222,1.01497797356828,3,4,0.5,2,32,1,NA,0,NA,korean-002-044-75210,1,36840,38840,dyadic
73900,74460.00000000001,B,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,560.0000000000146,korean-002-042-73900,talk,1,2,1608,2,25706834,6.255146005144002e-5,NA,NA,partial,other,-230,NA,5780,0.653979238754325,1.03956834532374,2,3,0.666666666666667,2,12,85,NA,0,NA,korean-002-044-75210,2,38610,39170.000000000015,dyadic
74510,78170,A,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,3660,korean-002-043-74510,talk,11,95,1,53,25706834,3.8900161723532347e-8,NA,NA,NA,other,49.99999999998545,overlapped,9440,0.599576271186441,1.01833872707659,3,4,0.5,2,32,1,NA,0,NA,korean-002-044-75210,1,39220,42880,dyadic
75210.00000000001,76220,B,NA,NA,/korean1/4102,korean,Korean,Korean,korean1,1009.9999999999854,korean-002-044-75210,talk,2,5,204,6,25706834,7.935632991600599e-6,NA,NA,full,other,-2959.9999999999854,NA,10449,0.458321370466073,1.12718446601942,4,5,0.6,2,20,81,1,1,focus,korean-002-044-75210,2,39920.000000000015,40930,dyadic
