glottocode,corpus,type,access,url,citekey,language,langshort,langfull,level,category,classification,name_gl,Macroarea,lat,lon,ISO639P3code,Countries,Family_ID,Language_ID,family
haio1238,akhoe_haikom1,field,yes,"https://hdl.handle.net/1839/
b1796725-1a49-48ee-93ea-75e5b440c7bc",widlokCollectionAkhoeHai2007,akhoe_haikom,╪Akhoe,╪Akhoe Hai||om,language,Spoken_L1_Language,khoe1240/khoe1241/khoe1242/nort3245,Hai//om-Akhoe,Africa,-19.7637,17.0299,hgm,BW;NA;ZA,khoe1240,NA,Khoe-Kwadi
mosi1247,akie1,field,yes,https://hdl.handle.net/1839/b17d3caf-83e6-4ee9-8d1a-f9e4f8179971,legereCollectionAkie2019,akie,Akie,Akie,language,Spoken_L1_Language,nilo1247/sout2830/kale1246/okie1247,Akie,Africa,-5.43471,37.1869,mwy,TZ,nilo1247,NA,Nilotic
akpe1248,akpes1,field,yes,https://www.elararchive.org/dk0555,lauDocumentingAbesabesi2019,akpes,Akpes,Akpes (Àbèsàbèsì),language,Spoken_L1_Language,atla1278/volt1241/benu1247/akpe1249,Akpes,Africa,7.50256,5.95559,ibe,NG,atla1278,NA,Atlantic-Congo
waig1244,ambel1,field,yes,http://hdl.handle.net/2196/00-0000-0000-000C-E849-2,arnoldDocumentationAmbelAustronesian2017,ambel,Ambel,Ambel,language,Spoken_L1_Language,aust1307/mala1545/cent2237/east2712/sout2850/sout3229/raja1255/ambe1249,Waigeo,Papunesia,-0.17957,130.917,wgo,ID,aust1307,NA,Austronesian
anal1239,anal1,field,yes,http://hdl.handle.net/2196/af2415d6-dc75-4330-ba5d-7b8122e50982,ozerovCommunitydrivenDocumentationNatural2018,anal,Anal,Anal Naga,language,Spoken_L1_Language,sino1245/kuki1245/kuki1246/oldk1252/anal1240,Anal,Eurasia,24.0506,94.2806,anm,IN;MM,sino1245,NA,Sino-Tibetan
egyp1253,arabic1,phone,no,https://catalog.ldc.upenn.edu/LDC97S45,canavanalexandraCALLHOMEEgyptianArabic1997,arabic,Arabic,Egyptian Arabic,language,Spoken_L1_Language,afro1255/semi1276/west2786/cent2236/arab1394/arab1395/egyp1251/egyp1254,Egyptian Arabic,Africa,31,31,arz,EG;IL;LY,afro1255,NA,Afro-Asiatic
arap1274,arapaho1,field,yes,http://hdl.handle.net/2196/3bba11be-a5e2-47dd-bfe5-42f2ee9e0bf4,cowellConversationalDatabaseArapaho1950,arapaho,Arapaho,Arapaho,language,Spoken_L1_Language,algi1248/algo1256/algo1257/arap1273/arap1280,Arapaho,North America,43.3879,-108.81,arp,US,algi1248,NA,Algic
isim1234,asimjeeg_datooga1,field,yes,http://hdl.handle.net/2196/1e9151d8-df0a-4ea7-bb6d-377b65b14310,griscomDocumentationIsimjeegDatooga2018,asimjeeg_datooga,Datooga,Asimjeeg Datooga,language,Spoken_L1_Language,nilo1247/sout2830/tato1241/geme1247/nort3277,Isimjeega-Rootigaanga,Africa,-3.423772,35.42881,NA,TZ,nilo1247,NA,Nilotic
kwaa1262,baa1,field,yes,http://hdl.handle.net/2196/e050a2cd-f61d-435e-824e-93d24877bbaa,mollernwadigoDocumentationProjectBaa2016,baa,Baa,Baa,language,Spoken_L1_Language,atla1278/volt1241/nort3149/came1255,Baa,Africa,9.42222,11.4439,kwb,NG,atla1278,NA,Atlantic-Congo
musi1241,besemah1,field,yes,https://hdl.handle.net/1839/00-0000-0000-0022-6B59-B,gilDocumentationBesemahMalayic2015,besemah,Besemah,Besemah,language,Spoken_L1_Language,aust1307/mala1545/mala1536/nort3170/mala1538/nucl1806/cent2391/musi1243,Musi,Papunesia,-2.93987,103.945,mui,ID,aust1307,NA,Austronesian
braz1246,brazilian_portuguese1,lab,yes,https://fale.ufal.br/projeto/nurcdigital/,dasilvaProjetoNormaUrbana1996,brazilian_portuguese,Br. Portuguese,Brazilian Portuguese,dialect,Dialect,indo1319/clas1257/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/sout3183/west2838/gali1263/macr1272/braz1247/port1283,Brazilian Portuguese,South America,-23.04,-43.65,NA,NA,indo1319,port1283,Indo-European
stan1289,catalan1,lab,yes,https://catalog.elra.info/en-us/repository/browse/ELRA-S0407/,garridoGlissandoCorpusMultidisciplinary2013,catalan,Catalan,Catalan,language,Spoken_L1_Language,indo1319/clas1257/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/sout3183,Catalan,Eurasia,41.453,1.569,cat,AD;ES;FR;IT,indo1319,NA,Indo-European
chit1279,chitkuli1,field,yes,http://hdl.handle.net/2196/cf110665-3694-4e74-a8f8-79e105d89b50,martinezDocumentaryCorpusChhitkulRakchham2020,chitkuli,Chitkuli,Chitkuli Kinnauri,language,Spoken_L1_Language,sino1245/bodi1256/tibe1275/west2868/kinn1250,Chhitkul-Rakchham,Eurasia,31.2965,78.5287,cik,IN,sino1245,NA,Sino-Tibetan
sant1424,cora1,field,yes,	http://hdl.handle.net/2196/0829a3a6-92c4-4346-8e37-04845cdd1f7f,parkerDocumentationCoraSan2020,cora,Cora,Cora,language,Spoken_L1_Language,utoa1244/sout3136/cora1261/cora1259/cora1260,Santa Teresa Cora,North America,22.7102,-104.7,cok,MX,utoa1244,NA,Uto-Aztecan
croa1245,croatian1,lab,yes,https://ca.talkbank.org/access/Croatian.html,kuvackraljevicCroatianAdultSpoken2016,croatian,Croatian,Croatian,dialect,Dialect,indo1319/clas1257/balt1263/slav1255/sout3147/west2804/sout1528/shto1241/news1236/east2821,Croatian Standard,Eurasia,45.555,15.982,hrv,AT;BA;HR;HU;IT;ME;RS;SI,indo1319,sout1528,Indo-European
czec1258,czech1,lab,yes,https://mirjamernestus.nl/Ernestus/NCCCz/index.php,ernestusNijmegenCorpusCasual2014a,czech,Czech,Czech,language,Spoken_L1_Language,indo1319/clas1257/balt1263/slav1255/west2792/czec1260/czec1261,Czech,Eurasia,49.873398,15.10437,ces,AT;CZ;PL;SK,indo1319,NA,Indo-European
