uid,FTO,language
catalan-01-005-6786,-1169,Catalan
catalan-01-009-11782,292,Catalan
catalan-01-015-17622,28,Catalan
catalan-01-018-24718,-344,Catalan
catalan-01-020-28294,-1508,Catalan
catalan-01-022-33118,-964,Catalan
catalan-01-030-48556,-2582,Catalan
catalan-01-038-66612,322,Catalan
catalan-01-042-69548,-798,Catalan
catalan-01-056-91740,-358,Catalan
catalan-01-116-202246,260,Catalan
catalan-01-146-249798,284,Catalan
catalan-01-149-253748,-391,Catalan
catalan-01-163-270710,-468,Catalan
catalan-01-194-326774,-756,Catalan
catalan-01-203-349231,-8523,Catalan
catalan-01-215-380822,228,Catalan
catalan-01-223-402302,-756,Catalan
catalan-01-245-431806,276,Catalan
catalan-01-254-446310,746,Catalan
catalan-01-258-453461,-5301,Catalan
catalan-01-270-476494,-1028,Catalan
catalan-01-275-482924,-382,Catalan
catalan-01-277-484647,133,Catalan
catalan-01-284-497110,2573,Catalan
catalan-01-292-513246,228,Catalan
catalan-01-298-518446,-507.9999999999418,Catalan
catalan-01-304-527366,-140,Catalan
catalan-01-326-559262,154,Catalan
catalan-01-328-565598,-2388,Catalan
catalan-01-340-586181,539,Catalan
catalan-01-344-591206,308,Catalan
catalan-01-346-592902,100,Catalan
catalan-02-009-10766,52,Catalan
catalan-02-011-14174,173,Catalan
catalan-02-018-27200,847,Catalan
catalan-02-025-39797,339,Catalan
catalan-02-054-99846,492,Catalan
catalan-02-067-123035,-2991,Catalan
catalan-02-071-129150,-347.99999999998545,Catalan
catalan-02-083-143618,-4640,Catalan
catalan-02-087-150462,468,Catalan
catalan-02-090-153944,62.000000000029104,Catalan
catalan-02-095-162086,28.999999999970896,Catalan
catalan-02-099-177134,-5508,Catalan
catalan-02-122-227502,536,Catalan
catalan-02-128-236544,372.9999999999709,Catalan
catalan-02-156-293414,1193,Catalan
catalan-02-160-309051,605,Catalan
catalan-02-162-311278,7,Catalan
catalan-02-200-394918,7084,Catalan
catalan-02-217-425542,-3620,Catalan
catalan-02-230-442705,-33,Catalan
catalan-02-236-457553,68,Catalan
catalan-02-240-462120,-1610,Catalan
catalan-02-243-466702,-348,Catalan
catalan-02-248-473558,-1336,Catalan
catalan-02-250-482078,260,Catalan
catalan-02-257-495174,-1456,Catalan
catalan-02-266-511177,-7074.999999999942,Catalan
catalan-02-271-525254,-3572,Catalan
catalan-02-276-541630,-4132,Catalan
catalan-02-291-567646,-1910,Catalan
catalan-02-305-590366,380,Catalan
catalan-02-311-596566,956,Catalan
catalan-02-320-619006,828,Catalan
catalan-02-326-633286,228,Catalan
catalan-02-330-641406,180,Catalan
catalan-02-366-723609,-3465,Catalan
catalan-02-372-737470,307,Catalan
catalan-02-389-759478,450,Catalan
catalan-02-397-777070,-100,Catalan
catalan-02-405-787870,27,Catalan
catalan-03-015-32054,284.00000000000364,Catalan
catalan-03-020-55542,380,Catalan
catalan-03-038-113494,741,Catalan
catalan-03-040-115094,-70,Catalan
catalan-03-047-131374,1581,Catalan
catalan-03-052-139960,-194,Catalan
catalan-03-069-189022,92,Catalan
catalan-03-076-202550,2580,Catalan
catalan-03-080-214414,125,Catalan
catalan-03-095-247374,44,Catalan
catalan-03-099-253853,2699,Catalan
catalan-03-103-262134,-76,Catalan
catalan-03-109-273303,45,Catalan
catalan-03-111-277742,260,Catalan
catalan-03-132-310518,-1412,Catalan
catalan-03-150-351702,-352,Catalan
catalan-03-154-368198,-172,Catalan
catalan-03-157-381478,1764,Catalan
catalan-03-169-409057,38,Catalan
catalan-03-179-430146,576,Catalan
catalan-03-189-460794,96,Catalan
catalan-03-197-481317,240,Catalan
catalan-03-209-514524,20.999999999941792,Catalan
catalan-03-223-538902,1012,Catalan
catalan-03-227-553758,588,Catalan
catalan-03-236-568794,-120,Catalan
catalan-03-262-629766,-3756,Catalan
catalan-03-265-638006,-996,Catalan
catalan-03-288-689519,500,Catalan
catalan-03-299-725943,501,Catalan
catalan-03-312-757083,-586,Catalan
catalan-03-316-767182,-1308,Catalan
catalan-03-324-789502,-164,Catalan
catalan-03-339-826454,-964,Catalan
catalan-03-362-897606,185,Catalan
catalan-03-367-904054,1124,Catalan
catalan-03-382-937054,-68,Catalan
catalan-03-385-943006,516,Catalan
catalan-03-396-957063,-187,Catalan
catalan-03-403-971006,380,Catalan
catalan-04-005-16008,30,Catalan
catalan-04-028-59142,-3404,Catalan
catalan-04-048-106167,188.99999999998545,Catalan
catalan-04-053-119390,-1820,Catalan
catalan-04-071-161542,716,Catalan
catalan-04-079-176022,-44,Catalan
catalan-04-122-264694,-2652,Catalan
catalan-04-147-323998,-124,Catalan
catalan-04-162-351025,-5171,Catalan
catalan-04-166-357459,273,Catalan
catalan-04-170-363430,-117,Catalan
catalan-04-179-380382,342,Catalan
catalan-04-198-418638,756,Catalan
catalan-04-203-426830,652,Catalan
catalan-04-217-454338,-2608,Catalan
catalan-04-220-460862,831,Catalan
catalan-04-229-478934,912.9999999999418,Catalan
catalan-04-256-530177,-5777,Catalan
catalan-04-262-549158,1154,Catalan
catalan-04-272-582961,519,Catalan
catalan-04-291-617490,1080,Catalan
catalan-04-299-630350,-3252,Catalan
catalan-04-303-638528,-8090,Catalan
catalan-04-308-649502,-3404,Catalan
catalan-04-315-663928,790,Catalan
catalan-04-323-678911,469,Catalan
catalan-04-330-690888,454,Catalan
catalan-04-347-724062,-108,Catalan
catalan-04-371-778334,4763.000000000116,Catalan
catalan-04-373-782862,788,Catalan
catalan-04-377-796542,2,Catalan
catalan-04-389-821846,-4316,Catalan
catalan-04-408-862286,372,Catalan
catalan-04-412-871118,76,Catalan
catalan-04-418-888022,-489,Catalan
catalan-04-427-899078,-1428,Catalan
catalan-04-429-905260,-70,Catalan
catalan-05-005-4838,-124,Catalan
catalan-05-007-7121,-2601,Catalan
catalan-05-009-11169,367,Catalan
catalan-05-015-16016,-1428.0000000000018,Catalan
catalan-05-019-22614,187,Catalan
catalan-05-021-25196,-136,Catalan
catalan-05-024-27926,241,Catalan
catalan-05-026-28899,-31,Catalan
catalan-05-031-36470,276,Catalan
catalan-05-035-40248,-245,Catalan
catalan-05-047-58406,886,Catalan
catalan-05-053-72662,-1232,Catalan
catalan-05-057-76487,326,Catalan
catalan-05-063-84122,155.99999999998545,Catalan
catalan-05-069-92262,210.00000000001455,Catalan
catalan-05-074-98052,-273.00000000001455,Catalan
catalan-05-094-128462,1223.9999999999854,Catalan
catalan-05-100-136830,369.9999999999709,Catalan
catalan-05-108-157646,572.0000000000291,Catalan
catalan-05-115-165006,-1582,Catalan
